line,dateMeas,ACIgroups,CO2S,Ci,Tleaf,Photo,PARi,Patm
49-177,5/26/2014,A1,400,216,25,10.45,1800,88
49-177,5/26/2014,A1,200,121,25,5.1,1800,88
49-177,5/26/2014,A1,100,75,25,1.65,1800,88
49-177,5/26/2014,A1,50,51,25,-0.05,1800,88
49-177,5/26/2014,A1,400,244,25,11.5,1800,88
49-177,5/26/2014,A1,600,354,25,16.6,1800,88
49-177,5/26/2014,A1,800,476,25,19.8,1800,88
49-177,5/26/2014,A1,1000,634,25,21.5,1800,88
49-177,5/26/2014,A1,1200,812,25,22,1800,88
49-177,5/26/2014,B1,300,190,35,7.3,1800,88
49-177,5/26/2014,B1,200,141,35,3.95,1800,88
49-177,5/26/2014,B1,100,87.9,35,0.43,1800,88
49-177,5/26/2014,B1,50,58.2,35,-1.15,1800,88
49-177,5/26/2014,B1,400,253,35,10.9,1800,88
49-177,5/26/2014,B1,600,361,35,16.5,1800,88
49-177,5/26/2014,B1,800,469,35,21.1,1800,88
49-177,5/26/2014,B1,1000,599,35,23.5,1800,88
49-177,5/26/2014,B1,1200,733,35,24.5,1800,88
50-194,6/1/2014,C1,300,145,25,5.6,1800,88
50-194,6/1/2014,C1,200,109,25,3.7,1800,88
50-194,6/1/2014,C1,100,77.5,25,1.1,1800,88
50-194,6/1/2014,C1,50,53.5,25,-0.5,1800,88
50-194,6/1/2014,C1,400,234,25,12.9,1800,88
50-194,6/1/2014,C1,600,320,25,18.3,1800,88
50-194,6/1/2014,C1,800,438,25,22.5,1800,88
50-194,6/1/2014,C1,1000,581,25,24.3,1800,88
50-194,6/1/2014,C1,1200,738,25,24.8,1800,88
50-194,6/1/2014,D1,400,224,35,10.8,1800,88
50-194,6/1/2014,D1,300,182,35,8.14,1800,88
50-194,6/1/2014,D1,200,138,35,4.95,1800,88
50-194,6/1/2014,D1,100,87,35,0.715,1800,88
50-194,6/1/2014,D1,50,58,35,-1.2,1800,88
50-194,6/1/2014,D1,400,249,35,13.3,1800,88
50-194,6/1/2014,D1,600,355,35,19,1800,88
50-194,6/1/2014,D1,800,464,35,22.8,1800,88
50-194,6/1/2014,D1,1000,540,35,23.9,1800,88
180-372,6/2/2014,E1,300,209,25,13.5,1800,88
180-372,6/2/2014,E1,200,148,25,8.5,1800,88
180-372,6/2/2014,E1,100,84.6,25,2.4,1800,88
180-372,6/2/2014,E1,50,51.1,25,-0.88,1800,88
180-372,6/2/2014,E1,400,269,25,18.5,1800,88
180-372,6/2/2014,E1,600,395,25,26.2,1800,88
180-372,6/2/2014,E1,800,526,25,31.3,1800,88
180-372,6/2/2014,E1,1000,663,25,34.4,1800,88
180-372,6/2/2014,E1,1200,803,25,36.5,1800,88
180-372,6/2/2014,F1,400,265,35,12.4,1800,88
180-372,6/2/2014,F1,300,209,35,10,1800,88
180-372,6/2/2014,F1,200,147,35,4.95,1800,88
180-372,6/2/2014,F1,100,90.3,35,0.61,1800,88
180-372,6/2/2014,F1,50,57.3,35,-1.61,1800,88
180-372,6/2/2014,F1,600,370,35,15,1800,88
180-372,6/2/2014,F1,800,480,35,18,1800,88
180-372,6/2/2014,F1,1000,591,35,21.6,1800,88
180-372,6/2/2014,F1,1200,715,35,25.4,1800,88
50-194,6/3/2014,G1,300,189,25,15.9,1800,88
50-194,6/3/2014,G1,200,133,25,9.7,1800,88
50-194,6/3/2014,G1,100,79.7,25,2.53,1800,88
50-194,6/3/2014,G1,50,52.4,25,-0.82,1800,88
50-194,6/3/2014,G1,400,246,25,21.1,1800,88
50-194,6/3/2014,G1,600,345,25,28,1800,88
50-194,6/3/2014,G1,800,485,25,32,1800,88
50-194,6/3/2014,G1,1000,639,25,33.7,1800,88
50-194,6/3/2014,G1,1200,788,25,33.8,1800,88
50-194,6/3/2014,H1,400,233,35,17.2,1800,88
50-194,6/3/2014,H1,300,190,35,13.2,1800,88
50-194,6/3/2014,H1,200,140,35,7.6,1800,88
50-194,6/3/2014,H1,100,86.1,35,1.4,1800,88
50-194,6/3/2014,H1,50,55.8,35,-1.6,1800,88
50-194,6/3/2014,H1,400,231,35,17.3,1800,88
50-194,6/3/2014,H1,600,314,35,24,1800,88
50-194,6/3/2014,H1,800,376,35,27.3,1800,88
50-194,6/3/2014,H1,1000,460,35,31,1800,88
50-194,6/3/2014,H1,1200,551,35,33.3,1800,88
180-372,6/4/2014,I1,200,143,25,4.58,1800,88
180-372,6/4/2014,I1,100,84.4,25,1.4,1800,88
180-372,6/4/2014,I1,50,53.4,25,-0.73,1800,88
180-372,6/4/2014,I1,400,256,25,10.1,1800,88
180-372,6/4/2014,I1,600,375,25,17.8,1800,88
180-372,6/4/2014,I1,800,503,25,22.4,1800,88
180-372,6/4/2014,I1,1000,614,25,23.8,1800,88
180-372,6/4/2014,I1,1200,753,25,27.1,1800,88
180-372,6/4/2014,J1,400,260,35,10.4,1800,88
180-372,6/4/2014,J1,300,198,35,7.8,1800,88
180-372,6/4/2014,J1,200,144,35,4.54,1800,88
180-372,6/4/2014,J1,100,88.7,35,0.667,1800,88
180-372,6/4/2014,J1,50,58,35,-1.42,1800,88
180-372,6/4/2014,J1,600,358,35,12.8,1800,88
180-372,6/4/2014,J1,800,471,35,16,1800,88
180-372,6/4/2014,J1,1000,598,35,17.5,1800,88
180-372,6/4/2014,J1,1200,728,35,18.5,1800,88
49-177,6/5/2014,K1,400,201,25,16.6,1800,88
