date,tree,line,Tref,CO2,photosynthesis ,conductance,Ci,CPS,Standard curve equation ,mmol iso_umol_air ,iso_mmol_sec, Iso_mol_pm2_psec
5/26/2014,D2,49-177,25,400,10.45,0.111,216,3920,12.8941,5.01E-06,0.002506006,4.176677098
5/26/2014,D2,49-177,25,300,8.1,0.117,164,4050,13.4011,5.21E-06,0.002604543,4.340905333
5/26/2014,D2,49-177,25,200,5.1,0.132,121,4120,13.6741,5.32E-06,0.002657602,4.429335922
5/26/2014,D2,49-177,25,100,1.65,0.149,75,4000,13.2061,5.13E-06,0.002566644,4.277740627
5/26/2014,D2,49-177,25,50,-0.05,0.168,51,3500,11.2561,4.38E-06,0.002187656,3.646093569
5/26/2014,D2,49-177,25,400,11.5,0.152,244,4000,13.2061,5.13E-06,0.002566644,4.277740627
5/26/2014,D2,49-177,25,600,16.6,0.137,354,3900,12.8161,4.98E-06,0.002490847,4.151411216
5/26/2014,D2,49-177,25,800,19.8,0.123,476,3450,11.0611,4.30E-06,0.002149757,3.582928863
5/26/2014,D2,49-177,25,1000,21.5,0.12,634,2850,8.7211,3.39E-06,0.001694971,2.824952392
5/26/2014,D2,49-177,25,1200,22,0.118,812,2330,6.6931,2.60E-06,0.001300824,2.168039451
5/26/2014,D2,49-177,35,400,15.4,0.132,164,8250,29.7811,1.16E-05,0.005788044,9.646740627
5/26/2014,D2,49-177,35,300,7.3,0.15,190,8200,29.5861,1.15E-05,0.005750146,9.583575922
5/26/2014,D2,49-177,35,200,3.95,0.17,141,8050,29.0011,1.13E-05,0.005636449,9.394081804
5/26/2014,D2,49-177,35,100,0.43,0.192,87.9,6750,23.9311,9.30E-06,0.00465108,7.751799451
5/26/2014,D2,49-177,35,50,-1.15,0.197,58.2,5200,17.8861,6.95E-06,0.003476216,5.793693569
5/26/2014,D2,49-177,35,400,10.9,0.17,253,7950,28.6111,1.11E-05,0.005560651,9.267752392
5/26/2014,D2,49-177,35,600,16.5,0.157,361,8000,28.8061,1.12E-05,0.00559855,9.330917098
5/26/2014,D2,49-177,35,800,21.1,0.142,469,7550,27.0511,1.05E-05,0.005257461,8.762434745
5/26/2014,D2,49-177,35,1000,23.5,0.129,599,6450,22.7611,8.85E-06,0.004423687,7.372811216
5/26/2014,D2,49-177,35,1200,24.5,0.114,733,5580,19.3681,7.53E-06,0.003764247,6.273745333
6/1/2014,B13,50-194,25,400,7.35,0.0613,180,7450,30.5727,1.19E-05,0.005941894,9.903156941
6/1/2014,B13,50-194,25,300,5.6,0.0673,145,7680,31.5157,1.23E-05,0.006125169,10.20861498
6/1/2014,B13,50-194,25,200,3.7,0.078,109,7625,31.2902,1.22E-05,0.006081342,10.13557067
6/1/2014,B13,50-194,25,100,1.1,0.109,77.5,7000,28.7277,1.12E-05,0.005583313,9.305521647
